year,player_exp
2001,57
2002,74
2003,89
2004,122
2005,111
2006,112
2007,119
2008,132
2009,133
2010,136
2011,152
2012,166
2013,151
2014,182
2015,162
2016,175
2017,188
2018,206
2019,197
2020,79
2021,200
2022,196
