Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
31,31,POR,James White,Cincinnati,3,67,583,182,68,35,0.438,0.34,0.676,8.7,2.7,1,0.5,0.8,0.062,-3.2,-0.2
32,32,HOU,Steve Novak,Marquette,11,467,5657,2177,591,132,0.437,0.43,0.877,12.1,4.7,1.3,0.3,14.5,0.123,0.8,4
33,33,ATL,Solomon Jones,South Florida,8,281,3092,839,654,99,0.467,0.111,0.717,11,3,2.3,0.4,5,0.078,-4,-1.6
34,34,LAC,Paul Davis,Michigan State,4,82,702,217,158,32,0.402,0,0.732,8.6,2.6,1.9,0.4,0.5,0.035,-4.2,-0.4
35,35,TOR,P.J. Tucker,Texas,12,852,24449,5802,4685,1209,0.425,0.366,0.749,28.7,6.8,5.5,1.4,42.6,0.084,-0.9,6.7
36,36,MIN,Craig Smith,Boston College,6,403,6826,3080,1567,322,0.553,0.037,0.661,16.9,7.6,3.9,0.8,16,0.113,-1.2,1.4
37,37,MIN,Bobby Jones,Washington,2,91,867,288,149,44,0.442,0.306,0.685,9.5,3.2,1.6,0.5,1.1,0.06,-4.1,-0.5
38,38,GSW,Kosta Perović,,1,7,38,10,13,1,0.3,,0.667,5.4,1.4,1.9,0.1,0,0.06,-5.9,0
39,39,MIL,David Noel,UNC,1,68,792,184,123,65,0.367,0.321,0.86,11.6,2.7,1.8,1,0.4,0.024,-3.1,-0.2
40,40,SEA,Denham Brown,UConn,,,,,,,,,,,,,,,,,
41,41,ORL,James Augustine,Illinois,2,27,156,42,33,4,0.514,,0.5,5.8,1.6,1.2,0.1,0.3,0.101,-2.7,0
42,42,CLE,Daniel Gibson,Texas,7,397,9316,3115,792,775,0.402,0.407,0.78,23.5,7.8,2,2,16,0.082,-1,2.4
43,43,NOK,Marcus Vinicius,,2,26,172,50,19,7,0.457,0.421,0.556,6.6,1.9,0.7,0.3,0.2,0.056,-3,0
44,44,ORL,Lior Eliyahu,,,,,,,,,,,,,,,,,,
45,45,IND,Alexander Johnson,Florida State,2,102,1302,439,275,30,0.517,,0.672,12.8,4.3,2.7,0.3,1.5,0.056,-4.6,-0.9
46,46,UTA,Dee Brown,Illinois,2,68,711,140,69,119,0.34,0.25,0.643,10.5,2.1,1,1.8,0.1,0.008,-3,-0.2
47,47,UTA,Paul Millsap,Louisiana Tech,16,1085,30498,14536,7673,2378,0.489,0.341,0.736,28.1,13.4,7.1,2.2,95.4,0.15,1.9,29.9
48,48,WAS,Vladimir Veremeenko,,,,,,,,,,,,,,,,,,
49,49,DEN,Leon Powe,California,5,239,3320,1484,911,78,0.515,0,0.682,13.9,6.2,3.8,0.3,12,0.174,-1.6,0.3
50,50,CHA,Ryan Hollins,UCLA,10,518,6134,1913,1140,151,0.584,0,0.649,11.8,3.7,2.2,0.3,10.4,0.081,-4.1,-3.2
51,51,LAL,Cheikh Samb,,2,22,114,22,31,1,0.25,0,0.444,5.2,1,1.4,0,-0.1,-0.056,-9.1,-0.2
52,52,LAC,Guillermo Díaz,Miami (FL),1,6,18,5,2,1,0.25,0,0.6,3,0.8,0.3,0.2,0,0.033,-2.9,0
53,53,SEA,Yotam Halperin,,,,,,,,,,,,,,,,,,
54,54,NJN,Hassan Adams,Arizona,2,73,547,185,84,14,0.534,0,0.643,7.5,2.5,1.2,0.2,0.8,0.072,-2.3,0
55,55,CLE,Ejike Ugboaja,,,,,,,,,,,,,,,,,,
56,56,TOR,Edin Bavčić,,,,,,,,,,,,,,,,,,
57,57,MIN,Loukas Mavrokefalidis,,,,,,,,,,,,,,,,,,
58,58,DAL,J.R. Pinnock,George Washington,,,,,,,,,,,,,,,,,
59,59,SAS,Damir Markota,,1,30,170,51,31,6,0.365,0.375,0.636,5.7,1.7,1,0.2,-0.2,-0.07,-8.5,-0.3
60,60,DET,Will Blalock,Iowa State,1,14,166,25,15,17,0.3,0.2,1,11.9,1.8,1.1,1.2,-0.1,-0.032,-5.8,-0.2
