Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
31,30,ORL,Anderson Varejão,,14,632,15087,4574,4531,737,0.509,0.023,0.63,23.9,7.2,7.2,1.2,46.4,0.148,0.3,8.8
32,31,CHI,Jackson Vroman,Iowa State,2,87,1111,285,261,51,0.408,0,0.58,12.8,3.3,3,0.6,0,0.001,-5.1,-0.9
33,32,WAS,Peter John Ramos,,1,6,20,11,4,0,0.5,,0.5,3.3,1.8,0.7,0,0,-0.108,-10,0
34,33,LAC,Lionel Chalmers,Xavier,1,36,433,111,31,51,0.336,0.245,0.625,12,3.1,0.9,1.4,-0.2,-0.025,-5.3,-0.4
35,34,ATL,Donta Smith,Southeastern Illinois College,2,61,560,165,66,48,0.421,0.308,0.65,9.2,2.7,1.1,0.8,0.5,0.043,-3.2,-0.2
36,35,SEA,Andre Emmett,Texas Tech,2,14,73,20,8,1,0.462,0,0.615,5.2,1.4,0.6,0.1,0.1,0.04,-5.5,-0.1
37,36,ORL,Antonio Burks,Memphis,2,81,789,186,49,104,0.387,0.235,0.571,9.7,2.3,0.6,1.3,0.1,0.004,-5,-0.6
38,37,ATL,Royal Ivey,Texas,10,492,6162,1641,557,501,0.406,0.361,0.706,12.5,3.3,1.1,1,4.5,0.035,-3.8,-2.7
39,38,CHI,Chris Duhon,Duke,9,606,15526,3946,1364,2690,0.393,0.363,0.784,25.6,6.5,2.3,4.4,25,0.077,-1.2,3.2
40,39,TOR,Albert Miralles,,,,,,,,,,,,,,,,,,
41,40,BOS,Justin Reed,Ole Miss,3,136,1436,472,186,68,0.404,0,0.752,10.6,3.5,1.4,0.5,0.5,0.016,-5.9,-1.4
42,41,SEA,David Young,NC Central,,,,,,,,,,,,,,,,,
43,42,ATL,Viktor Sanikidze,,,,,,,,,,,,,,,,,,
44,43,NYK,Trevor Ariza,UCLA,18,1118,32953,11593,5356,2379,0.422,0.351,0.731,29.5,10.4,4.8,2.1,64.3,0.094,0.6,21.8
45,44,NOH,Tim Pickett,Florida State,,,,,,,,,,,,,,,,,
46,45,CHA,Bernard Robinson,Michigan,3,128,1909,576,315,126,0.417,0.161,0.786,14.9,4.5,2.5,1,2,0.049,-2,0
47,46,POR,Ha Seung-Jin,,2,46,316,70,67,3,0.519,,0.5,6.9,1.5,1.5,0.1,-0.2,-0.029,-8.8,-0.5
48,47,MIA,Pape Sow,Cal State Fullerton,3,76,879,219,214,12,0.416,,0.678,11.6,2.9,2.8,0.2,0.8,0.044,-5.7,-0.8
49,48,SAC,Ricky Minard,Morehead State University,,,,,,,,,,,,,,,,,
50,49,MEM,Sergei Lishouk,,,,,,,,,,,,,,,,,,
51,50,DAL,Vassilis Spanoulis,,1,31,272,85,22,28,0.319,0.172,0.81,8.8,2.7,0.7,0.9,-0.1,-0.01,-5.9,-0.3
52,51,NJN,Christian Drejer,Florida,,,,,,,,,,,,,,,,,
53,52,SAS,Romain Sato,Xavier,,,,,,,,,,,,,,,,,
54,53,MIA,Matt Freije,Vanderbilt,2,42,588,133,85,27,0.293,0.224,0.714,14,3.2,2,0.6,-0.6,-0.047,-6,-0.6
55,54,DET,Rickey Paulding,Missouri,,,,,,,,,,,,,,,,,
56,55,HOU,Luis Flores,Manhattan College,1,16,77,35,3,11,0.483,0.5,1,4.8,2.2,0.2,0.7,0,-0.02,-4.8,0
57,56,LAL,Marcus Douthit,Providence,,,,,,,,,,,,,,,,,
58,57,SAS,Sergei Karaulov,,,,,,,,,,,,,,,,,,
59,58,MIN,Blake Stepp,Gonzaga,,,,,,,,,,,,,,,,,
60,59,IND,Rashad Wright,Georgia,,,,,,,,,,,,,,,,,
