Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
30,30,DAL,Ansu Sesay,Ole Miss,4,127,1301,401,223,62,0.434,0.276,0.64,10.2,3.2,1.8,0.5,1.4,0.051,-3.3,-0.4
31,31,LAL,Ruben Patterson,Cincinnati,10,649,15955,6953,2697,1150,0.517,0.179,0.641,24.6,10.7,4.2,1.8,35.1,0.106,0.7,10.8
32,32,SEA,Rashard Lewis,,16,1049,33541,15579,5433,1765,0.452,0.386,0.805,32,14.9,5.2,1.7,90.9,0.13,1.9,33.1
33,33,SEA,Jelani McCoy,UCLA,8,260,3824,1200,921,135,0.539,,0.49,14.7,4.6,3.5,0.5,5.1,0.064,-2.9,-0.9
34,34,CHI,Shammond Williams,UNC,7,325,5351,1892,518,765,0.401,0.366,0.798,16.5,5.8,1.6,2.4,8.8,0.079,-0.7,1.7
35,35,DAL,Bruno Šundov,,7,102,524,173,107,18,0.356,0.208,0.526,5.1,1.7,1,0.2,-0.7,-0.062,-8.9,-0.9
36,36,SAC,Jerome James,Florida A&M,9,358,4771,1540,1099,118,0.485,0,0.617,13.3,4.3,3.1,0.3,2.9,0.029,-4.9,-3.5
37,37,PHI,Casey Shaw,Toledo,1,9,14,2,3,0,0.125,,,1.6,0.2,0.3,0,-0.1,-0.498,-29.8,-0.1
38,38,NYK,DeMarco Johnson,UNC Charlotte,1,5,37,6,7,0,0.333,,,7.4,1.2,1.4,0,-0.1,-0.091,-10.3,-0.1
39,39,MIL,Rafer Alston,Fresno State,11,671,19392,6799,1891,3202,0.383,0.354,0.729,28.9,10.1,2.8,4.8,32.9,0.081,0,9.6
40,40,DET,Korleone Young,,1,3,15,13,4,1,0.5,0.25,1,5,4.3,1.3,0.3,0.1,0.28,9.4,0
41,41,HOU,Cuttino Mobley,Rhode Island,11,747,27618,11964,2902,2015,0.433,0.378,0.835,37,16,3.9,2.7,52.2,0.091,-0.1,12.9
42,42,ORL,Miles Simon,Arizona,1,5,19,2,2,0,0.2,0,,3.8,0.4,0.4,0,-0.1,-0.289,-17.4,-0.1
43,43,WAS,Jahidi White,Georgetown,7,334,5913,1954,1944,63,0.51,0,0.534,17.7,5.9,5.8,0.2,10.4,0.085,-3.2,-1.8
44,44,NYK,Sean Marks,California,11,230,2275,638,501,50,0.448,0.2,0.665,9.9,2.8,2.2,0.2,2.6,0.055,-5,-1.7
45,45,LAL,Toby Bailey,UCLA,2,73,698,241,126,43,0.407,0.2,0.692,9.6,3.3,1.7,0.6,1,0.072,-3.5,-0.3
46,46,MIN,Andrae Patterson,Indiana,2,40,304,120,67,16,0.455,0,0.778,7.6,3,1.7,0.4,0.7,0.114,-1.9,0
47,47,TOR,Tyson Wheeler,Rhode Island,1,1,3,4,0,2,1,1,0.5,3,4,0,2,0.1,1.367,51.1,0
48,48,CLE,Ryan Stack,South Carolina,2,43,397,99,79,10,0.352,0,0.787,9.2,2.3,1.8,0.2,0.2,0.028,-6.7,-0.5
49,49,ATL,Cory Carr,Texas Tech,1,42,624,171,49,66,0.329,0.167,0.75,14.9,4.1,1.2,1.6,-1.2,-0.089,-8.2,-1
50,50,CHH,Andrew Betts,Cal State Long Beach,,,,,,,,,,,,,,,,,
51,51,MIA,Corey Brewer,Oklahoma,,,,,,,,,,,,,,,,,
52,52,SAS,Derrick Dial,Eastern Michigan,4,82,687,253,133,63,0.372,0.19,0.672,8.4,3.1,1.6,0.8,0.6,0.045,-2.2,0
53,53,DAL,Greg Buckner,Clemson,10,570,10895,2878,1593,719,0.45,0.334,0.757,19.1,5,2.8,1.3,20.9,0.092,-0.9,3
54,54,DEN,Tremaine Fowlkes,Fresno State,4,103,1233,301,228,54,0.409,0.2,0.791,12,2.9,2.2,0.5,2.1,0.08,-2,0
55,55,DEN,Ryan Bowen,Iowa,10,507,6502,1319,1060,250,0.456,0.206,0.693,12.8,2.6,2.1,0.5,12.4,0.092,-0.8,2
56,56,VAN,J.R. Henderson,UCLA,1,30,331,97,47,22,0.365,0.4,0.556,11,3.2,1.6,0.7,-0.2,-0.025,-4.8,-0.2
57,57,UTA,Torraye Braggs,Xavier,2,22,178,46,51,7,0.475,,0.667,8.1,2.1,2.3,0.3,0.3,0.071,-4.9,-0.1
58,58,CHI,Maceo Baston,Michigan,4,105,831,286,175,26,0.616,0.375,0.74,7.9,2.7,1.7,0.2,2.3,0.134,-1.2,0.2
