Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
28,28,MIA,Sherman Douglas,Syracuse,12,765,21148,8425,1672,4536,0.484,0.267,0.678,27.6,11,2.2,5.9,32.9,0.075,-0.3,9.2
29,29,CHH,Dyron Nix,Tennessee,1,20,109,39,26,5,0.359,,0.688,5.5,2,1.3,0.3,0,-0.015,-5.8,-0.1
30,30,MIL,Frank Kornet,Vanderbilt,2,89,595,171,95,30,0.369,0.263,0.596,6.7,1.9,1.1,0.3,0,-0.004,-6.2,-0.6
31,31,LAC,Jeff Martin,Murray State,2,143,2685,956,290,109,0.417,0.282,0.694,18.8,6.7,2,0.8,2.1,0.038,-3.2,-0.8
32,32,NJN,Stanley Brundy,DePaul,1,16,128,37,26,3,0.5,,0.389,8,2.3,1.6,0.2,0.2,0.057,-3.1,0
33,33,LAC,Jay Edwards,Indiana,1,4,26,7,2,4,0.429,0,0.333,6.5,1.8,0.5,1,0,0.022,-4,0
34,34,MIN,Gary Leonard,Missouri,3,31,149,44,34,2,0.459,0,0.5,4.8,1.4,1.1,0.1,0.1,0.029,-6.9,-0.2
35,35,DAL,Pat Durham,Colorado State,2,64,930,323,108,57,0.469,0.192,0.667,14.5,5,1.7,0.9,0.7,0.037,-2,0
36,36,POR,Clifford Robinson,UConn,18,1380,42561,19591,6306,3094,0.438,0.356,0.689,30.8,14.2,4.6,2.2,89.7,0.101,0.5,26.6
37,37,ORL,Michael Ansley,Alabama,3,149,2143,1026,621,67,0.513,,0.722,14.4,6.9,4.2,0.4,6.4,0.142,-1,0.6
38,38,MIN,Doug West,Villanova,12,676,16649,6477,1670,1292,0.481,0.191,0.801,24.6,9.6,2.5,1.9,17.7,0.051,-3,-4.2
39,39,WSB,Ed Horton,Iowa,1,45,374,202,108,19,0.494,0,0.609,8.3,4.5,2.4,0.4,0.4,0.05,-4.9,-0.3
40,40,BOS,Dino Radja,,4,224,7308,3733,1883,356,0.497,0,0.735,32.6,16.7,8.4,1.6,14.3,0.094,-0.4,3
41,41,WSB,Doug Roth,Tennessee,1,42,412,81,120,20,0.43,0,0.5,9.8,1.9,2.9,0.5,0.4,0.052,-5.3,-0.3
42,42,DEN,Michael Cutright,McNeese State University,,,,,,,,,,,,,,,,,
43,43,CLE,Chucky Brown,NC State,13,694,11962,4125,2148,549,0.491,0.227,0.699,17.2,5.9,3.1,0.8,19,0.076,-2.7,-2
44,44,PHI,Reggie Cross,Hawaii,,,,,,,,,,,,,,,,,
45,45,MIA,Scott Haffner,University of Evansville,2,50,609,213,55,89,0.403,0.13,0.667,12.2,4.3,1.1,1.8,-0.1,-0.012,-5.1,-0.5
46,46,PHO,Ricky Blanton,LSU,1,2,13,6,3,1,0.429,,,6.5,3,1.5,0.5,0,0.088,-0.3,0
47,47,DEN,Reggie Turner,UAB,,,,,,,,,,,,,,,,,
48,48,UTA,Junie Lewis,University of South Alabama,,,,,,,,,,,,,,,,,
49,49,ATL,Haywoode Workman,Oral Roberts,8,359,7202,1967,819,1410,0.419,0.323,0.764,20.1,5.5,2.3,3.9,10.7,0.071,-0.7,2.4
50,50,NYK,Brian Quinnett,Washington State,3,138,1530,474,224,76,0.414,0.326,0.677,11.1,3.4,1.6,0.6,0.9,0.027,-3.7,-0.6
51,51,PHO,Mike Morrison,Loyola (MD),1,36,153,72,20,11,0.338,0.286,0.8,4.3,2,0.6,0.3,-0.3,-0.106,-10.5,-0.3
52,52,PHO,Greg Grant,Trenton State University,6,274,3350,767,248,751,0.383,0.281,0.71,12.2,2.8,0.9,2.7,1.6,0.023,-2.9,-0.8
53,53,DAL,Jeff Hodge,University of South Alabama,,,,,,,,,,,,,,,,,
54,54,PHI,Toney Mack,Georgia,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
