Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
30,30,HOU,Serge Zwikker,UNC,,,,,,,,,,,,,,,,,
31,31,MIA,Mark Sanford,Washington,,,,,,,,,,,,,,,,,
32,32,DET,Charles O'Bannon,UCLA,2,48,399,120,67,29,0.4,0,0.87,8.3,2.5,1.4,0.6,0.6,0.07,-2,0
33,33,DEN,James Cotton,Cal State Long Beach,2,19,92,49,16,0,0.359,0,0.778,4.8,2.6,0.8,0,0,0.008,-6.6,-0.1
34,34,PHI,Marko Milič,,2,44,216,108,30,14,0.56,0.429,0.647,4.9,2.5,0.7,0.3,0.2,0.047,-2.4,0
35,35,DAL,Bubba Wells,Austin Peay State University,1,39,395,128,68,34,0.414,0.167,0.721,10.1,3.3,1.7,0.9,0.1,0.013,-3.5,-0.2
36,36,PHI,Kebu Stewart,Cal State-Bakersfield,1,15,110,40,31,2,0.462,,0.64,7.3,2.7,2.1,0.1,0.2,0.098,-1.4,0
37,37,PHI,James Collins,Florida State,1,23,103,59,14,3,0.382,0.45,0.571,4.5,2.6,0.6,0.1,0,0.008,-1,0
38,38,GSW,Marc Jackson,Temple,7,387,7572,3238,1655,311,0.446,0.226,0.814,19.6,8.4,4.3,0.8,13,0.082,-2.7,-1.4
39,39,MIL,Jerald Honeycutt,Tulane,2,54,632,275,105,36,0.391,0.362,0.632,11.7,5.1,1.9,0.7,0.3,0.02,-3.3,-0.2
40,40,SAC,Anthony Johnson,College of Charleston,13,793,15552,4432,1358,2274,0.414,0.356,0.745,19.6,5.6,1.7,2.9,23.2,0.072,-1.5,2
41,41,SEA,Eddie Elisma,Georgia Tech,,,,,,,,,,,,,,,,,
42,42,DEN,Jason Lawson,Villanova,1,17,80,26,27,5,0.6,,0.8,4.7,1.5,1.6,0.3,0.5,0.28,4.8,0.1
43,43,PHO,Stephen Jackson,Butler County Community College,14,858,27398,12976,3328,2634,0.414,0.333,0.798,31.9,15.1,3.9,3.1,36.1,0.063,-0.4,11.2
44,44,MIN,Gordon Malone,West Virginia,,,,,,,,,,,,,,,,,
45,45,CLE,Cedric Henderson,Memphis,5,260,6182,1885,755,419,0.436,0.14,0.715,23.8,7.3,2.9,1.6,3.3,0.026,-2.8,-1.3
46,46,WAS,God Shammgod,Providence,1,20,146,61,7,36,0.328,0,0.767,7.3,3.1,0.4,1.8,-0.1,-0.049,-6.2,-0.2
47,47,ORL,Eric Washington,Alabama,2,104,2300,716,216,108,0.402,0.346,0.757,22.1,6.9,2.1,1,0.1,0.002,-3.5,-0.9
48,48,POR,Alvin Williams,Villanova,9,460,12610,4161,1140,1877,0.421,0.313,0.76,27.4,9,2.5,4.1,21.7,0.082,-0.4,4.9
49,49,WAS,Predrag Drobnjak,,4,278,5542,2187,973,225,0.425,0.34,0.799,19.9,7.9,3.5,0.8,5.6,0.048,-3,-1.3
50,50,ATL,Alain Digbeu,,,,,,,,,,,,,,,,,,
51,51,ATL,Chris Crawford,Marquette,7,252,3985,1654,547,154,0.437,0.347,0.824,15.8,6.6,2.2,0.6,6.5,0.078,-2.6,-0.6
52,52,LAL,DeJuan Wheat,Louisville,2,80,740,265,56,127,0.383,0.39,0.7,9.3,3.3,0.7,1.6,0.5,0.034,-1.9,0
53,53,VAN,C.J. Bruton,Indian Hills Community College,,,,,,,,,,,,,,,,,
54,54,LAL,Paul Rogers,Gonzaga,,,,,,,,,,,,,,,,,
55,55,SEA,Mark Blount,Pitt,9,605,13981,4941,2784,513,0.504,0.359,0.723,23.1,8.2,4.6,0.8,18.8,0.065,-2.7,-2.5
56,56,BOS,Ben Pepper,,,,,,,,,,,,,,,,,,
57,57,UTA,Nate Erdmann,Oklahoma,,,,,,,,,,,,,,,,,
58,58,CHI,Roberto Duenas,,,,,,,,,,,,,,,,,,
