Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
28,28,DAL,Lucious Harris,Cal State Long Beach,12,800,15701,5784,1864,1130,0.426,0.348,0.79,19.6,7.2,2.3,1.4,28.7,0.088,-0.9,4.5
29,29,MIN,Sherron Mills,VCU,,,,,,,,,,,,,,,,,
30,30,WSB,Gheorghe Mureșan,,6,307,6729,3020,1957,150,0.573,0,0.644,21.9,9.8,6.4,0.5,19,0.136,-0.3,2.9
31,31,SAC,Evers Burns,Maryland,1,23,143,56,30,9,0.4,,0.522,6.2,2.4,1.3,0.4,0.1,0.02,-5.5,-0.1
32,32,PHI,Alphonso Ford,Mississippi Valley State University,2,11,114,35,20,10,0.308,0.1,0.5,10.4,3.2,1.8,0.9,-0.4,-0.153,-8.4,-0.2
33,33,DAL,Eric Riley,Michigan,5,186,1844,574,479,60,0.456,0,0.704,9.9,3.1,2.6,0.3,2.5,0.066,-3.8,-0.9
34,34,GSW,Darnell Mee,Western Kentucky,2,40,293,76,36,18,0.312,0.222,0.444,7.3,1.9,0.9,0.5,-0.1,-0.02,-2.8,-0.1
35,35,MIA,Ed Stokes,Arizona,1,4,17,3,4,1,0.333,,0.5,4.3,0.8,1,0.3,0,-0.077,-7.6,0
36,36,NJN,John Best,Tennessee Technological University,,,,,,,,,,,,,,,,,
37,37,LAL,Nick Van Exel,Cincinnati,13,880,28969,12658,2545,5777,0.405,0.357,0.794,32.9,14.4,2.9,6.6,55.9,0.093,0.4,17.7
38,38,WSB,Conrad McRae,Syracuse,,,,,,,,,,,,,,,,,
39,39,IND,Thomas Hill,Duke,,,,,,,,,,,,,,,,,
40,40,ATL,Rich Manning,Washington,2,55,512,182,94,10,0.415,0.4,0.643,9.3,3.3,1.7,0.2,-0.3,-0.028,-8.3,-0.8
41,41,CHI,Anthony Reed,Tulane,,,,,,,,,,,,,,,,,
42,42,SEA,Adonis Jordan,Kansas,2,10,97,21,6,22,0.296,0.25,0.5,9.7,2.1,0.6,2.2,0,-0.015,-2.9,0
43,43,DEN,Josh Grant,Utah,1,53,382,157,89,24,0.404,0.279,0.759,7.2,3,1.7,0.5,0.5,0.06,-2.3,0
44,44,SAC,Alex Holcombe,Baylor,,,,,,,,,,,,,,,,,
45,45,UTA,Bryon Russell,Cal State Long Beach,13,841,19805,6663,2914,1085,0.431,0.369,0.75,23.5,7.9,3.5,1.3,47.4,0.115,0.4,11.8
46,46,HOU,Richard Petruška,UCLA,1,22,92,53,31,1,0.435,0.467,0.75,4.2,2.4,1.4,0,0,-0.014,-8.2,-0.1
47,47,SAS,Chris Whitney,Clemson,11,579,10052,3738,815,1613,0.395,0.361,0.875,17.4,6.5,1.4,2.8,21.2,0.101,-0.2,4.6
48,48,POR,Kevin Thompson,NC State,1,14,58,13,13,3,0.429,0,0.5,4.1,0.9,0.9,0.2,0,-0.016,-8.1,-0.1
49,49,PHO,Mark Buford,Mississippi Valley State University,,,,,,,,,,,,,,,,,
50,50,HOU,Marcelo Nicola,,,,,,,,,,,,,,,,,,
51,51,IND,Spencer Dunkley,University of Delaware,,,,,,,,,,,,,,,,,
52,52,SAC,Mike Peplowski,Michigan State,3,68,705,194,176,26,0.556,0,0.531,10.4,2.9,2.6,0.4,1,0.067,-4.5,-0.4
53,53,LAC,Leonard White,Southern University and A&M College,,,,,,,,,,,,,,,,,
54,54,PHO,Byron Wilson,Utah,,,,,,,,,,,,,,,,,
