Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
30,30,NYK,Maciej Lampe,,3,64,632,215,142,22,0.407,0.25,0.676,9.9,3.4,2.2,0.3,-0.2,-0.014,-7,-0.8
31,31,CLE,Jason Kapono,UCLA,9,509,9068,3398,844,417,0.442,0.434,0.835,17.8,6.7,1.7,0.8,10.3,0.055,-2.6,-1.3
32,32,LAL,Luke Walton,Arizona,10,564,9685,2649,1588,1317,0.429,0.326,0.715,17.2,4.7,2.8,2.3,13.5,0.067,-1,2.5
33,33,MIA,Jerome Beasley,University of North Dakota,1,2,5,2,1,0,0.333,,,2.5,1,0.5,0,0,-0.117,-5.2,0
34,34,LAC,Sofoklis Schortsanitis,,,,,,,,,,,,,,,,,,
35,35,MIL,Szymon Szewczyk,,,,,,,,,,,,,,,,,,
36,36,CHI,Mario Austin,Mississippi State,,,,,,,,,,,,,,,,,
37,37,ATL,Travis Hansen,BYU,1,41,507,123,70,19,0.354,0.3,0.815,12.4,3,1.7,0.5,0.2,0.019,-6.2,-0.5
38,38,WAS,Steve Blake,Maryland,13,870,20823,5662,1816,3446,0.401,0.383,0.779,23.9,6.5,2.1,4,29.1,0.067,-1.2,4.2
39,39,NYK,Slavko Vraneš,,1,1,3,0,0,0,0,,,3,0,0,0,0,-0.371,-26.2,0
40,40,GSW,Derrick Zimmerman,Mississippi State,1,2,32,4,4,7,0.667,,,16,2,2,3.5,0,0.004,-10.4,-0.1
41,41,SEA,Willie Green,Detroit Mercy,12,731,14783,6059,1303,1018,0.425,0.346,0.765,20.2,8.3,1.8,1.4,12.9,0.042,-2.7,-2.7
42,42,ORL,Zaza Pachulia,,16,1098,22240,7414,6315,1433,0.469,0,0.751,20.3,6.8,5.8,1.3,52.7,0.114,-1.5,2.9
43,43,MIL,Keith Bogans,Kentucky,11,671,14527,4257,1817,866,0.394,0.353,0.716,21.6,6.3,2.7,1.3,20.4,0.068,-1.5,1.9
44,44,HOU,Malick Badiane,,,,,,,,,,,,,,,,,,
45,45,CHI,Matt Bonner,Florida,12,792,13356,4632,2371,552,0.464,0.414,0.78,16.9,5.8,3,0.7,38.5,0.138,1,10.1
46,46,DEN,Sani Bečirovič,,,,,,,,,,,,,,,,,,
47,47,UTA,Mo Williams,Alabama,13,818,23872,10759,2264,3990,0.434,0.378,0.871,29.2,13.2,2.8,4.9,40,0.08,-0.3,10
48,48,NOH,James Lang,,1,11,55,11,11,2,0.444,,0.6,5,1,1,0.2,0.1,0.047,-6.4,-0.1
49,49,IND,James Jones,Miami (FL),14,709,11098,3717,1276,366,0.401,0.401,0.84,15.7,5.2,1.8,0.5,25.2,0.109,-0.1,5.4
50,50,PHI,Paccelis Morlende,,,,,,,,,,,,,,,,,,
51,51,NJN,Kyle Korver,Creighton,17,1232,31183,11953,3643,2114,0.442,0.429,0.877,25.3,9.7,3,1.7,73.4,0.113,0.6,20.7
52,52,TOR,Remon van de Hare,,,,,,,,,,,,,,,,,,
53,53,CHI,Tommy Smith,Arizona State,,,,,,,,,,,,,,,,,
54,54,POR,Nedžad Sinanović,,,,,,,,,,,,,,,,,,
55,55,MIN,Rick Rickert,Minnesota,,,,,,,,,,,,,,,,,
56,56,BOS,Brandon Hunter,Ohio University,2,67,630,220,187,22,0.476,0,0.488,9.4,3.3,2.8,0.3,0.7,0.055,-3.7,-0.3
57,57,DAL,Xue Yuyang,,,,,,,,,,,,,,,,,,
58,58,DET,Andreas Glyniadakis,,1,13,81,17,8,1,0.471,,0.5,6.2,1.3,0.6,0.1,-0.2,-0.143,-14,-0.2
