Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
30,30,LAL,John Celestand,Villanova,1,16,185,37,11,20,0.333,0.222,0.833,11.6,2.3,0.7,1.3,-0.1,-0.038,-7.6,-0.3
31,31,LAC,Rico Hill,Illinois State,,,,,,,,,,,,,,,,,
32,32,CHI,Michael Ruffin,Tulsa,9,414,5966,716,1632,250,0.407,0,0.459,14.4,1.7,3.9,0.6,6.8,0.055,-3.3,-2
33,33,DEN,Chris Herren,Fresno State,2,70,1005,224,73,167,0.336,0.328,0.692,14.4,3.2,1,2.4,0.5,0.025,-4.5,-0.6
34,34,NJN,Evan Eschmeyer,Northwestern,4,153,2138,421,601,76,0.463,,0.621,14,2.8,3.9,0.5,4,0.09,-3,-0.5
35,35,WAS,Calvin Booth,Penn State,10,366,4477,1190,1010,151,0.451,0.222,0.748,12.2,3.3,2.8,0.4,8,0.086,-1.8,0.3
36,36,DAL,Wang Zhizhi,,5,137,1256,604,231,39,0.417,0.385,0.735,9.2,4.4,1.7,0.3,2.1,0.078,-1.6,0.1
37,37,VAN,Obinna Ekezie,Maryland,4,143,1516,510,383,31,0.423,0,0.72,10.6,3.6,2.7,0.2,1.7,0.054,-5.4,-1.3
38,38,ORL,Laron Profit,Maryland,4,135,1537,441,209,166,0.419,0.236,0.712,11.4,3.3,1.5,1.2,0.7,0.021,-2.1,0
39,39,CLE,A.J. Bramlett,Arizona,1,8,61,8,22,0,0.19,,,7.6,1,2.8,0,-0.2,-0.129,-15.9,-0.2
40,40,DAL,Gordan Giriček,,6,384,8824,3670,941,584,0.442,0.368,0.823,23,9.6,2.5,1.5,8,0.044,-2.5,-1.1
41,41,DEN,Francisco Elson,California,9,472,7207,1726,1638,260,0.478,0.188,0.7,15.3,3.7,3.5,0.6,11.7,0.078,-2.7,-1.3
42,42,MIN,Louis Bullock,Michigan,,,,,,,,,,,,,,,,,
43,43,CHH,Lee Nailon,TCU,6,306,5820,2622,936,298,0.474,0.111,0.786,19,8.6,3.1,1,8,0.066,-2,0
44,44,HOU,Tyrone Washington,Mississippi State,,,,,,,,,,,,,,,,,
45,45,SAC,Ryan Robertson,Kansas,1,1,25,5,0,0,0.333,0,1,25,5,0,0,0,-0.022,-5.4,0
46,46,NYK,J.R. Koch,Iowa,,,,,,,,,,,,,,,,,
47,47,PHI,Todd MacCulloch,Washington,4,223,3439,1369,888,121,0.541,,0.642,15.4,6.1,4,0.5,11.9,0.166,0.3,2
48,48,MIL,Galen Young,UNC Charlotte,,,,,,,,,,,,,,,,,
49,49,CHI,Lari Ketner,UMass,2,25,139,34,34,2,0.406,,0.667,5.6,1.4,1.4,0.1,0,-0.015,-7.4,-0.2
50,50,HOU,Venson Hamilton,Nebraska,,,,,,,,,,,,,,,,,
51,51,VAN,Antwain Smith,Saint Paul's College,,,,,,,,,,,,,,,,,
52,52,POR,Roberto Bergersen,Boise State,,,,,,,,,,,,,,,,,
53,53,MIA,Rodney Buford,Creighton,5,230,4182,1472,598,179,0.412,0.3,0.758,18.2,6.4,2.6,0.8,2.9,0.033,-3.8,-1.9
54,54,DET,Melvin Levett,Cincinnati,,,,,,,,,,,,,,,,,
55,55,BOS,Kris Clack,Texas,,,,,,,,,,,,,,,,,
56,56,GSW,Tim Young,Stanford,1,25,137,54,35,5,0.333,,0.778,5.5,2.2,1.4,0.2,0.2,0.058,-4.9,-0.1
57,57,SAS,Manu Ginóbili,,16,1057,26859,14043,3697,4001,0.447,0.369,0.827,25.4,13.3,3.5,3.8,106.4,0.19,5,47.6
58,58,UTA,Eddie Lucas,Virginia Tech,,,,,,,,,,,,,,,,,
