Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
30,30,DET,Lou Roe,UMass,2,66,479,130,92,21,0.333,0.25,0.647,7.3,2,1.4,0.3,0,-0.001,-4.9,-0.4
31,31,CHI,Dragan Tarlać,,1,43,598,103,122,31,0.394,,0.758,13.9,2.4,2.8,0.7,-0.2,-0.016,-7.3,-0.8
32,32,WSB,Terrence Rencher,Texas,1,36,405,106,44,54,0.33,0.31,0.674,11.3,2.9,1.2,1.5,-0.2,-0.021,-4,-0.2
33,33,BOS,Junior Burrough,Virginia,1,61,495,189,109,15,0.376,,0.656,8.1,3.1,1.8,0.2,-0.2,-0.018,-7.5,-0.7
34,34,GSW,Andrew DeClercq,Florida,10,587,9847,2815,2488,339,0.507,0,0.621,16.8,4.8,4.2,0.6,19.3,0.094,-2.9,-2.4
35,35,TOR,Jimmy King,Michigan,2,64,890,285,112,90,0.429,0.147,0.691,13.9,4.5,1.8,1.4,0,0.001,-4.6,-0.6
36,36,VAN,Lawrence Moten,Syracuse,3,119,1814,747,181,182,0.408,0.299,0.652,15.2,6.3,1.5,1.5,0,0.001,-2.1,0
37,37,LAL,Frankie King,Western Carolina University,2,13,79,27,16,7,0.357,0.333,0.75,6.1,2.1,1.2,0.5,0,0.025,-4.7,-0.1
38,38,MIL,Rashard Griffith,Wisconsin,,,,,,,,,,,,,,,,,
39,39,CLE,Donny Marshall,UConn,5,119,919,293,121,36,0.321,0.336,0.681,7.7,2.5,1,0.3,0.9,0.045,-3.8,-0.4
40,40,GSW,Dwayne Whitfield,Jackson State University,1,8,122,40,25,2,0.433,,0.636,15.3,5,3.1,0.3,0,0.01,-7.2,-0.2
41,41,HOU,Erik Meek,Duke,,,,,,,,,,,,,,,,,
42,42,ATL,Donnie Boyce,Colorado,2,30,195,79,25,16,0.349,0.25,0.5,6.5,2.6,0.8,0.5,-0.3,-0.064,-4.9,-0.1
43,43,MIL,Eric Snow,Michigan State,13,846,23132,5791,2141,4245,0.424,0.208,0.763,27.3,6.8,2.5,5,43.4,0.09,-1,5.9
44,44,DEN,Anthony Pelle,Fresno State,,,,,,,,,,,,,,,,,
45,45,ATL,Troy Brown,Providence,,,,,,,,,,,,,,,,,
46,46,MIA,George Banks,Texas-El Paso,,,,,,,,,,,,,,,,,
47,47,SAC,Tyus Edney,UCLA,4,226,4743,1728,393,910,0.405,0.322,0.806,21,7.6,1.7,4,6.8,0.068,-1.5,0.7
48,48,MIN,Mark Davis,Texas Tech,5,230,3681,1261,697,294,0.442,0.246,0.655,16,5.5,3,1.3,2.3,0.03,-2.4,-0.4
49,49,MIN,Jerome Allen,Penn,2,117,1305,336,123,201,0.35,0.317,0.63,11.2,2.9,1.1,1.7,0.2,0.006,-3.2,-0.4
50,50,GSW,Martin Lewis,Seward County Community College,2,25,239,89,35,7,0.473,0.3,0.593,9.6,3.6,1.4,0.3,0.1,0.026,-5,-0.2
51,51,SAC,Dejan Bodiroga,,,,,,,,,,,,,,,,,,
52,52,IND,Fred Hoiberg,Iowa State,10,541,9978,2944,1438,846,0.431,0.396,0.854,18.4,5.4,2.7,1.6,27.6,0.133,1.2,8
53,53,LAC,Constantin Popa,Miami (FL),,,,,,,,,,,,,,,,,
54,54,SEA,Eurelijus Žukauskas,,,,,,,,,,,,,,,,,,
55,55,GSW,Michael McDonald,New Orleans,1,1,4,0,1,0,,,,4,0,1,0,-0.1,-0.638,-32.4,0
56,56,PHO,Chris Carr,Southern Illinois,6,297,4505,1988,658,294,0.416,0.338,0.807,15.2,6.7,2.2,1,3.9,0.042,-3,-1.1
57,57,ATL,Cuonzo Martin,Purdue,2,7,32,9,3,3,0.25,0.6,0,4.6,1.3,0.4,0.4,-0.1,-0.151,-6.3,0
58,58,DET,Don Reid,Georgetown,8,403,5374,1454,1169,143,0.53,0,0.658,13.3,3.6,2.9,0.4,13.7,0.123,-2.1,-0.2
