Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
27,27,LAL,Elden Campbell,Clemson,15,1044,25776,10805,6116,1199,0.46,0.054,0.699,24.7,10.3,5.9,1.1,62.8,0.117,-0.5,9.5
28,28,GSW,Les Jepsen,Iowa,2,52,192,53,67,2,0.333,0,0.65,3.7,1,1.3,0,0.1,0.031,-8,-0.3
29,29,CHI,Toni Kukoč,,13,846,22212,9810,3555,3119,0.447,0.335,0.729,26.3,11.6,4.2,3.7,59.6,0.129,2.8,27.2
30,30,MIA,Carl Herrera,Houston,8,465,8042,2481,1690,261,0.476,0.143,0.643,17.3,5.3,3.6,0.6,9,0.054,-3.7,-3.4
31,31,PHO,Negele Knight,Dayton,6,276,4513,1699,351,780,0.436,0.263,0.73,16.4,6.2,1.3,2.8,4.2,0.044,-3,-1.1
32,32,PHI,Brian Oliver,Georgia Tech,4,118,1182,389,123,114,0.388,0.227,0.705,10,3.3,1,1,-0.5,-0.02,-5.9,-1.2
33,33,UTA,Walter Palmer,Dartmouth College,2,48,209,100,65,11,0.412,0,0.667,4.4,2.1,1.4,0.2,-0.1,-0.013,-6.7,-0.2
34,34,GSW,Kevin Pritchard,Kansas,4,94,1125,340,90,152,0.399,0.186,0.79,12,3.6,1,1.6,0.4,0.017,-4,-0.6
35,35,WSB,Greg Foster,Texas-El Paso,13,656,7974,2538,1691,351,0.44,0.225,0.748,12.2,3.9,2.6,0.5,5.6,0.033,-5.5,-7
36,36,ATL,Trevor Wilson,UCLA,4,103,1609,591,353,99,0.456,0,0.567,15.6,5.7,3.4,1,0.8,0.023,-3.4,-0.6
37,37,WSB,A.J. English,Virginia Union University,2,151,3108,1502,315,320,0.435,0.138,0.778,20.6,9.9,2.1,2.1,1.1,0.017,-3.9,-1.5
38,38,SEA,Jud Buechler,Arizona,12,720,8444,2385,1266,560,0.433,0.366,0.633,11.7,3.3,1.8,0.8,16.5,0.094,-0.1,4
39,39,CHH,Steve Scheffler,Purdue,7,174,918,331,180,26,0.558,0.2,0.759,5.3,1.9,1,0.1,2.9,0.153,-1.9,0
40,40,SAC,Bimbo Coles,Virginia Tech,14,852,20319,6628,1820,3313,0.425,0.267,0.811,23.8,7.8,2.1,3.9,27.4,0.065,-1.6,1.9
41,41,ATL,Steve Bardo,Illinois,3,33,299,73,60,44,0.329,0.1,0.696,9.1,2.2,1.8,1.3,-0.1,-0.02,-4,-0.2
42,42,DEN,Marcus Liberty,Illinois,4,267,4568,1942,925,244,0.417,0.34,0.664,17.1,7.3,3.5,0.9,4,0.042,-2.6,-0.7
43,43,SAS,Tony Massenburg,Maryland,13,683,12291,4238,2964,266,0.47,0.091,0.705,18,6.2,4.3,0.4,15.6,0.061,-4.5,-7.8
44,44,MIL,Steve Henson,Kansas State,7,238,2282,739,176,465,0.403,0.432,0.869,9.6,3.1,0.7,2,3.8,0.079,-1.8,0.1
45,45,IND,Antonio Davis,Texas-El Paso,13,903,26084,9041,6755,1017,0.448,0.087,0.727,28.9,10,7.5,1.1,59.6,0.11,-1.3,4.4
46,46,IND,Kenny Williams,Elizabeth City State University,4,260,2918,1247,693,161,0.511,0,0.68,11.2,4.8,2.7,0.6,7.4,0.122,0.1,1.5
47,47,PHI,Derek Strong,Xavier,10,456,8548,3088,2213,291,0.43,0.18,0.786,18.7,6.8,4.9,0.6,18.5,0.104,-2.1,-0.3
48,48,PHO,Cedric Ceballos,Cal State Fullerton,11,609,14712,8693,3258,723,0.5,0.309,0.753,24.2,14.3,5.3,1.2,40.4,0.132,0.7,10.1
49,49,DAL,Phil Henderson,Duke,,,,,,,,,,,,,,,,,
50,50,PHO,Miloš Babić,Tennessee Technological University,2,21,87,37,20,10,0.375,,0.65,4.1,1.8,1,0.5,-0.1,-0.028,-5.9,-0.1
51,51,LAL,Tony Smith,Marquette,9,457,7295,2504,735,881,0.431,0.307,0.69,16,5.5,1.6,1.9,6.7,0.044,-2,0
52,52,CLE,Stefano Rusconi,,1,7,30,8,6,3,0.333,,0.4,4.3,1.1,0.9,0.4,-0.1,-0.104,-11.4,-0.1
53,53,SEA,Abdul Shamsid-Deen,Providence,,,,,,,,,,,,,,,,,
54,54,SAS,Sean Higgins,Michigan,6,220,3334,1375,402,226,0.428,0.321,0.85,15.2,6.3,1.8,1,0.4,0.006,-4.7,-2.3
