Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
31,31,SAC,Jeff Ayres,Arizona State,6,237,2322,690,632,99,0.553,0.4,0.776,9.8,2.9,2.7,0.4,6.3,0.131,-2.3,-0.2
32,32,WAS,Jermaine Taylor,Central Florida,2,65,786,351,108,48,0.441,0.284,0.73,12.1,5.4,1.7,0.7,0.2,0.014,-3.7,-0.3
33,33,POR,Dante Cunningham,Villanova,10,715,14875,4133,2676,506,0.469,0.345,0.649,20.8,5.8,3.7,0.7,24.9,0.08,-1.7,1.1
34,34,DEN,Sergio Llull,,,,,,,,,,,,,,,,,,
35,35,DET,DaJuan Summers,Georgetown,4,83,820,278,82,29,0.384,0.367,0.642,9.9,3.3,1,0.3,-0.1,-0.008,-5.8,-0.8
36,36,MEM,Sam Young,Pitt,4,249,3966,1436,573,180,0.442,0.28,0.742,15.9,5.8,2.3,0.7,5.2,0.063,-2.1,-0.1
37,37,SAS,DeJuan Blair,Pitt,7,424,7054,2865,2153,349,0.524,0,0.608,16.6,6.8,5.1,0.8,19,0.129,-1.2,1.4
38,38,POR,Jon Brockman,Washington,3,150,1570,320,472,49,0.488,0,0.618,10.5,2.1,3.1,0.3,3.7,0.113,-3.9,-0.8
39,39,DET,Jonas Jerebko,,9,635,11323,3919,2522,525,0.457,0.363,0.77,17.8,6.2,4,0.8,25.8,0.109,-1,2.9
40,40,CHA,Derrick Brown,Xavier,3,171,2554,895,413,119,0.515,0.317,0.637,14.9,5.2,2.4,0.7,4.5,0.085,-1.3,0.4
41,41,MIL,Jodie Meeks,Kentucky,10,539,12110,4988,1120,583,0.42,0.373,0.879,22.5,9.3,2.1,1.1,24.3,0.096,-0.6,4.2
42,42,LAL,Patrick Beverley,Arkansas,11,593,16227,5069,2490,2033,0.413,0.373,0.754,27.4,8.5,4.2,3.4,37.5,0.111,0.9,11.7
43,43,MIA,Marcus Thornton,LSU,8,483,11299,5750,1348,677,0.425,0.358,0.83,23.4,11.9,2.8,1.4,20,0.085,0.2,6.2
44,44,DET,Chase Budinger,Arizona,7,407,7998,3198,1240,473,0.43,0.352,0.797,19.7,7.9,3,1.2,13.9,0.083,-0.5,2.9
45,45,MIN,Nick Calathes,Florida,2,129,2011,590,243,353,0.441,0.288,0.581,15.6,4.6,1.9,2.7,2.6,0.063,-0.5,0.8
46,46,CLE,Danny Green,UNC,14,830,20881,7204,2825,1276,0.421,0.4,0.805,25.2,8.7,3.4,1.5,49.3,0.113,1.9,20.2
47,47,MIN,Henk Norel,,,,,,,,,,,,,,,,,,
48,48,PHO,Taylor Griffin,Oklahoma,1,8,32,10,2,1,0.4,0,0.5,4,1.3,0.3,0.1,0,-0.039,-8.1,-0.1
49,49,ATL,Sergiy Gladyr,,,,,,,,,,,,,,,,,,
50,50,UTA,Goran Suton,Michigan State,,,,,,,,,,,,,,,,,
51,51,SAS,Jack McClinton,Miami (FL),,,,,,,,,,,,,,,,,
52,52,IND,A.J. Price,UConn,6,261,3929,1523,377,567,0.38,0.316,0.742,15.1,5.8,1.4,2.2,4.7,0.058,-1.3,0.7
53,53,SAS,Nando De Colo,,2,119,1414,453,211,203,0.429,0.363,0.835,11.9,3.8,1.8,1.7,2.4,0.081,-0.7,0.5
54,54,CHA,Robert Vaden,UAB,,,,,,,,,,,,,,,,,
55,55,POR,Patty Mills,Saint Mary's,14,860,17580,7766,1434,1950,0.426,0.389,0.854,20.4,9,1.7,2.3,35.7,0.098,0,8.9
56,56,DAL,Ahmad Nivins,Saint Joseph's,,,,,,,,,,,,,,,,,
57,57,PHO,Emir Preldžić,,,,,,,,,,,,,,,,,,
58,58,BOS,Lester Hudson,University of Tennessee at Martin,4,57,594,268,77,71,0.375,0.277,0.806,10.4,4.7,1.4,1.2,0.2,0.016,-2.1,0
59,59,LAL,Chinemelu Elonu,Texas A&M,,,,,,,,,,,,,,,,,
60,60,MIA,Robert Dozier,Memphis,,,,,,,,,,,,,,,,,
