Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
30,30,GSW,Steve Logan,Cincinnati,,,,,,,,,,,,,,,,,
31,31,CHI,Roger Mason,Virginia,10,518,9147,3289,897,677,0.408,0.383,0.866,17.7,6.3,1.7,1.3,13,0.068,-1.4,1.4
32,32,MEM,Robert Archibald,Illinois,2,44,328,51,69,16,0.283,,0.429,7.5,1.2,1.6,0.4,0,-0.004,-6.1,-0.3
33,33,DEN,Vincent Yarbrough,Tennessee,1,59,1381,406,162,130,0.393,0.269,0.79,23.4,6.9,2.7,2.2,1,0.035,-2.4,-0.1
34,34,MIL,Dan Gadzuric,UCLA,10,527,7793,2465,2326,196,0.5,0,0.498,14.8,4.7,4.4,0.4,15.8,0.097,-2.3,-0.7
35,35,CLE,Carlos Boozer,Duke,13,861,26901,13976,8192,1928,0.521,0.071,0.722,31.2,16.2,9.5,2.2,80.3,0.143,1.4,23.1
36,36,NYK,Milos Vujanic,,,,,,,,,,,,,,,,,,
37,37,ATL,David Andersen,,2,103,1264,501,292,57,0.44,0.347,0.674,12.3,4.9,2.8,0.6,1.5,0.059,-2.9,-0.3
38,38,HOU,Tito Maddox,Fresno State,1,9,35,11,7,5,0.25,0,0.625,3.9,1.2,0.8,0.6,0,-0.011,-1.4,0
39,39,WAS,Rod Grizzard,Alabama,,,,,,,,,,,,,,,,,
40,40,WAS,Juan Carlos Navarro,,1,82,2117,896,210,177,0.402,0.361,0.849,25.8,10.9,2.6,2.2,1.4,0.031,-2.3,-0.2
41,41,LAC,Mario Kasun,,2,73,569,198,188,11,0.467,0,0.636,7.8,2.7,2.6,0.2,0.8,0.069,-7,-0.7
42,42,MIL,Ronald Murray,Shaw,8,487,11077,4817,1006,1096,0.414,0.304,0.725,22.7,9.9,2.1,2.3,8.5,0.037,-2.2,-0.5
43,43,POR,Jason Jennings,Arkansas State University,,,,,,,,,,,,,,,,,
44,44,CHI,Lonny Baxter,Maryland,4,162,1884,637,477,40,0.466,0.2,0.657,11.6,3.9,2.9,0.2,2.9,0.075,-4.6,-1.2
45,45,PHI,Sam Clancy,USC,,,,,,,,,,,,,,,,,
46,46,MEM,Matt Barnes,UCLA,14,929,21967,7589,4281,1691,0.436,0.335,0.745,23.6,8.2,4.6,1.8,42.8,0.093,-0.1,10.7
47,47,UTA,Jamal Sampson,California,5,72,631,142,242,26,0.491,0,0.537,8.8,2,3.4,0.4,1.4,0.106,-2.3,-0.1
48,48,MIL,Chris Owens,Texas,1,1,6,4,1,0,0.667,,,6,4,1,0,0,-0.032,-0.5,0
49,49,SEA,Peter Fehse,,,,,,,,,,,,,,,,,,
50,50,BOS,Darius Songaila,Wake Forest,8,495,9229,3415,1689,589,0.499,0.158,0.844,18.6,6.9,3.4,1.2,15.9,0.083,-2.1,-0.2
51,51,POR,Federico Kammerichs,,,,,,,,,,,,,,,,,,
52,52,MIN,Marcus Taylor,Michigan State,,,,,,,,,,,,,,,,,
53,53,MIA,Rasual Butler,La Salle,13,809,17219,6092,1934,658,0.403,0.362,0.747,21.3,7.5,2.4,0.8,20.8,0.058,-1.4,2.6
54,54,NJN,Tamar Slay,Marshall,3,66,517,173,70,31,0.361,0.265,0.538,7.8,2.6,1.1,0.5,-0.3,-0.029,-5.7,-0.5
55,55,DAL,Mladen Sekularac,,,,,,,,,,,,,,,,,,
56,56,SAS,Luis Scola,,10,743,19001,8882,4941,1194,0.493,0.339,0.74,25.6,12,6.7,1.6,45.7,0.115,-0.7,6.4
57,57,SAS,Randy Holcomb,San Diego State,1,4,11,2,1,0,1,,,2.8,0.5,0.3,0,0,0.15,-1.7,0
58,58,SAC,Corsley Edwards,Central Connecticut State University,1,10,110,27,25,3,0.323,,0.583,11,2.7,2.5,0.3,0.1,0.026,-6.2,-0.1
