Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
30,30,HOU,Othella Harrington,Georgetown,12,709,13924,5212,3130,443,0.505,0,0.738,19.6,7.4,4.4,0.6,23.1,0.08,-3.4,-4.9
31,31,PHI,Mark Hendrickson,Washington State,4,114,1508,381,316,63,0.416,0.167,0.803,13.2,3.3,2.8,0.6,2.1,0.067,-3.8,-0.7
32,32,PHI,Ryan Minor,Oklahoma,,,,,,,,,,,,,,,,,
33,33,MIL,Moochie Norris,University of West Florida,9,445,7640,2272,868,1233,0.401,0.286,0.74,17.2,5.1,2,2.8,10,0.063,-1.4,1.2
34,34,DAL,Shawn Harvey,West Virginia State University,,,,,,,,,,,,,,,,,
35,35,SEA,Joseph Blair,Arizona,,,,,,,,,,,,,,,,,
36,36,LAC,Doron Sheffer,UConn,,,,,,,,,,,,,,,,,
37,37,DEN,Jeff McInnis,UNC,11,576,15927,5396,1170,2514,0.431,0.328,0.796,27.7,9.4,2,4.4,23.1,0.07,-2.1,-0.3
38,38,BOS,Steve Hamer,Tennessee,1,35,268,76,60,7,0.526,0,0.552,7.7,2.2,1.7,0.2,0.2,0.031,-6.5,-0.3
39,39,PHO,Russ Millard,Iowa,,,,,,,,,,,,,,,,,
40,40,GSW,Marcus Mann,Mississippi Valley State University,,,,,,,,,,,,,,,,,
41,41,SAC,Jason Sasser,Texas Tech,2,14,108,30,15,4,0.412,0.333,0.5,7.7,2.1,1.1,0.3,0,-0.014,-5.7,-0.1
42,42,HOU,Randy Livingston,LSU,11,203,2684,773,282,415,0.406,0.351,0.771,13.2,3.8,1.4,2,2.3,0.041,-2.5,-0.3
43,43,PHO,Ben Davis,Arizona,4,40,154,54,53,5,0.356,,0.462,3.9,1.4,1.3,0.1,0.1,0.04,-5.5,-0.1
44,44,CHH,Malik Rose,Drexel,13,813,13404,5003,3371,684,0.437,0.177,0.743,16.5,6.2,4.1,0.8,26.5,0.095,-2.1,-0.4
45,45,SEA,Joe Vogel,Colorado State,,,,,,,,,,,,,,,,,
46,46,POR,Marcus Brown,Murray State,2,27,229,92,22,23,0.381,0.333,0.714,8.5,3.4,0.8,0.9,0.3,0.066,-2.6,0
47,47,SEA,Ron Riley,Arizona State,,,,,,,,,,,,,,,,,
48,48,PHI,Jamie Feick,Michigan State,5,201,4316,911,1437,139,0.424,0.4,0.629,21.5,4.5,7.1,0.7,8.2,0.091,-2.7,-0.7
49,49,ORL,Amal McCaskill,Marquette,4,114,968,204,213,36,0.377,0,0.609,8.5,1.8,1.9,0.3,0.5,0.024,-4.7,-0.7
50,50,HOU,Terrell Bell,Georgia,,,,,,,,,,,,,,,,,
51,51,VAN,Chris Robinson,Western Kentucky,2,76,1095,350,117,104,0.376,0.374,0.571,14.4,4.6,1.5,1.4,-0.1,-0.003,-4,-0.6
52,52,IND,Mark Pope,Kentucky,6,153,1634,285,261,63,0.401,0.179,0.573,10.7,1.9,1.7,0.4,1.3,0.038,-4.3,-0.9
53,53,MIL,Jeff Nordgaard,Green Bay,1,13,48,18,14,3,0.278,,0.889,3.7,1.4,1.1,0.2,0,0.043,-3.7,0
54,54,UTA,Shandon Anderson,Georgia,10,719,15946,5327,2252,1007,0.457,0.316,0.739,22.2,7.4,3.1,1.4,23.6,0.071,-1.3,3
55,55,WSB,Ronnie Henderson,LSU,,,,,,,,,,,,,,,,,
56,56,CLE,Reggie Geary,Arizona,2,101,931,209,82,110,0.344,0.328,0.493,9.2,2.1,0.8,1.1,0.6,0.032,-2.5,-0.1
57,57,SEA,Drew Barry,Georgia Tech,3,60,598,134,67,111,0.417,0.381,0.774,10,2.2,1.1,1.9,0.6,0.051,-3.5,-0.2
58,58,DAL,Darnell Robinson,Arkansas,,,,,,,,,,,,,,,,,
