Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
31,31,NJN,Tibor Pleiß,,1,12,82,24,15,2,0.44,0,1,6.8,2,1.3,0.2,-0.1,-0.041,-11.6,-0.2
32,32,MIA,Dexter Pittman,Texas,4,50,347,116,89,9,0.45,,0.545,6.9,2.3,1.8,0.2,0.5,0.068,-7.7,-0.5
33,33,SAC,Hassan Whiteside,Marshall,10,511,12645,6450,5523,327,0.586,0.308,0.605,24.7,12.6,10.8,0.6,52,0.197,2.5,14.5
34,34,POR,Armon Johnson,Nevada,2,47,401,157,49,56,0.458,0.4,0.679,8.5,3.3,1,1.2,-0.1,-0.015,-4.1,-0.2
35,35,WAS,Nemanja Bjelica,,7,449,9173,3412,2051,826,0.466,0.384,0.759,20.4,7.6,4.6,1.8,20,0.104,0.3,5.4
36,36,DET,Terrico White,Ole Miss,,,,,,,,,,,,,,,,,
37,37,MIL,Darington Hobson,New Mexico,1,5,39,4,3,6,0.154,0,,7.8,0.8,0.6,1.2,-0.2,-0.225,-13,-0.1
38,38,NYK,Andy Rautins,Syracuse,1,5,24,8,1,3,0.429,0.25,0.5,4.8,1.6,0.2,0.6,-0.2,-0.314,-13.2,-0.1
39,39,NYK,Landry Fields,Stanford,5,255,6010,1731,1092,419,0.473,0.332,0.666,23.6,6.8,4.3,1.6,10.5,0.084,-0.3,2.6
40,40,IND,Lance Stephenson,Cincinnati,10,554,12680,4738,2251,1621,0.445,0.314,0.694,22.9,8.6,4.1,2.9,17.5,0.066,-1.3,2.3
41,41,MIA,Jarvis Varnado,Mississippi State,2,37,397,107,72,16,0.582,,0.518,10.7,2.9,1.9,0.4,0.7,0.089,-3.3,-0.1
42,42,MIA,Da'Sean Butler,West Virginia,,,,,,,,,,,,,,,,,
43,43,LAL,Devin Ebanks,West Virginia,3,63,711,224,122,24,0.385,0.222,0.722,11.3,3.6,1.9,0.4,0.5,0.035,-4.8,-0.5
44,44,MIL,Jerome Jordan,Tulsa,2,65,491,180,132,17,0.528,,0.852,7.6,2.8,2,0.3,1.7,0.168,-1,0.1
45,45,MIN,Paulão Prestes,,,,,,,,,,,,,,,,,,
46,46,PHO,Gani Lawal,Georgia Tech,1,1,2,0,0,0,,,,2,0,0,0,0,-0.009,-15,0
47,47,MIL,Tiny Gallon,Oklahoma,,,,,,,,,,,,,,,,,
48,48,MIA,Latavious Williams,,,,,,,,,,,,,,,,,,
49,49,SAS,Ryan Richards,,,,,,,,,,,,,,,,,,
50,50,DAL,Solomon Alabi,Florida State,2,26,181,39,61,5,0.314,,0.7,7,1.5,2.3,0.2,0,0.01,-4.4,-0.1
51,51,OKC,Magnum Rolle,Louisiana Tech,,,,,,,,,,,,,,,,,
52,52,BOS,Luke Harangody,Notre Dame,2,70,871,253,196,36,0.376,0.241,0.737,12.4,3.6,2.8,0.5,0.9,0.048,-3.5,-0.3
53,53,ATL,Pape Sy,,1,3,21,7,3,2,0.333,0,1,7,2.3,1,0.7,0,-0.047,-6,0
54,54,LAC,Willie Warren,Oklahoma,1,19,134,37,12,27,0.371,0.333,0.75,7.1,1.9,0.6,1.4,0.2,0.065,-2.7,0
55,55,UTA,Jeremy Evans,Western Kentucky,7,250,2626,879,641,107,0.569,0.231,0.687,10.5,3.5,2.6,0.4,8.2,0.15,0.9,1.9
56,56,MIN,Hamady N'Diaye,Rutgers University,3,33,157,20,25,3,0.467,,0.462,4.8,0.6,0.8,0.1,0,0.013,-7.3,-0.2
57,57,IND,Ryan Reid,Florida State,1,5,17,8,2,0,0.8,,,3.4,1.6,0.4,0,0.1,0.142,-2,0
58,58,LAL,Derrick Caracter,Texas-El Paso,1,41,215,81,43,7,0.485,,0.739,5.2,2,1,0.2,0.3,0.057,-7.1,-0.3
59,59,ORL,Stanley Robinson,UConn,,,,,,,,,,,,,,,,,
60,60,PHO,Dwayne Collins,Miami (FL),,,,,,,,,,,,,,,,,
