Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
28,28,MIN,Marlon Maxey,Texas-El Paso,2,98,1146,479,363,22,0.542,0,0.685,11.7,4.9,3.7,0.2,2.6,0.109,-3,-0.3
29,29,NJN,P.J. Brown,Louisiana Tech,15,1089,33823,9870,8409,1661,0.46,0.136,0.794,31.1,9.1,7.7,1.5,89.8,0.128,0,17.4
30,30,DAL,Sean Rooks,Arizona,12,749,13560,4676,2877,631,0.459,0.091,0.699,18.1,6.2,3.8,0.8,16.2,0.057,-2.9,-3.1
31,31,POR,Reggie Smith,TCU,2,66,384,99,120,5,0.394,0,0.404,5.8,1.5,1.8,0.1,0.4,0.051,-5.1,-0.3
32,32,WSB,Brent Price,Oklahoma,9,418,7007,2481,684,1236,0.426,0.387,0.824,16.8,5.9,1.6,3,12,0.082,-0.8,2.2
33,33,CHI,Corey Williams,Oklahoma State,2,39,288,92,37,29,0.367,0.25,0.826,7.4,2.4,0.9,0.7,0.2,0.037,-5.6,-0.3
34,34,MIN,Chris Smith,UConn,3,224,3956,1140,291,627,0.435,0.366,0.713,17.7,5.1,1.3,2.8,3.2,0.039,-2.3,-0.3
35,35,CHH,Tony Bennett,Green Bay,3,152,1886,538,155,303,0.412,0.335,0.732,12.4,3.5,1,2,1.6,0.041,-2.7,-0.3
36,36,LAL,Duane Cooper,USC,2,88,781,204,59,178,0.402,0.216,0.72,8.9,2.3,0.7,2,-0.5,-0.032,-6.1,-0.8
37,37,MIA,Isaiah Morris,Arkansas,1,25,102,55,12,4,0.456,,0.75,4.1,2.2,0.5,0.2,0,-0.022,-5.7,-0.1
38,38,ATL,Elmer Bennett,Notre Dame,3,21,159,48,10,22,0.34,0.273,0.722,7.6,2.3,0.5,1,-0.3,-0.095,-6.9,-0.2
39,39,CHI,Litterial Green,Georgia,5,148,1189,423,75,182,0.42,0.077,0.665,8,2.9,0.5,1.2,1.6,0.066,-2.4,-0.1
40,40,NJN,Steve Rogers,Alabama State University,,,,,,,,,,,,,,,,,
41,41,HOU,Popeye Jones,Murray State,11,535,12579,3726,3981,696,0.447,0.281,0.751,23.5,7,7.4,1.3,22,0.084,-2.7,-2.1
42,42,MIA,Matt Geiger,Georgia Tech,10,552,12221,5059,3158,388,0.499,0.232,0.728,22.1,9.2,5.7,0.7,28.4,0.112,-1.8,0.6
43,43,GSW,Sasha Danilović,,2,75,2331,957,182,149,0.439,0.379,0.789,31.1,12.8,2.4,2,4.2,0.087,-0.7,0.8
44,44,SAS,Henry Williams,UNC Charlotte,,,,,,,,,,,,,,,,,
45,45,SEA,Chris King,Wake Forest,3,103,2058,693,311,116,0.423,0.383,0.633,20,6.7,3,1.1,1,0.023,-2.8,-0.4
46,46,DEN,Robert Werdann,St. John's,3,47,273,101,81,9,0.378,0,0.574,5.8,2.1,1.7,0.2,0.1,0.026,-6.3,-0.3
47,47,BOS,Darren Morningstar,Pitt,1,23,367,96,81,15,0.476,,0.6,16,4.2,3.5,0.7,0.4,0.048,-4.5,-0.2
48,48,PHO,Brian Davis,Duke,1,68,374,131,55,22,0.317,0.333,0.735,5.5,1.9,0.8,0.3,0,0,-4.7,-0.3
49,49,PHO,Ron Ellis,Louisiana Tech,,,,,,,,,,,,,,,,,
50,50,GSW,Matt Fish,UNC Wilmington,3,50,512,177,110,25,0.5,0,0.625,10.2,3.5,2.2,0.5,0.6,0.058,-3.1,-0.1
51,51,MIN,Tim Burroughs,Jacksonville University,,,,,,,,,,,,,,,,,
52,52,CHI,Matt Steigenga,Michigan State,1,2,12,3,3,2,0.25,0,0.5,6,1.5,1.5,1,0,-0.126,-8.5,0
53,53,HOU,Curtis Blair,Richmond,,,,,,,,,,,,,,,,,
54,54,SAC,Brett Roberts,Morehead State University,,,,,,,,,,,,,,,,,
