Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
28,28,DAL,Deon Thomas,Illinois,,,,,,,,,,,,,,,,,
29,29,PHO,Antonio Lang,Duke,6,143,1395,329,210,50,0.455,0,0.719,9.8,2.3,1.5,0.3,1.7,0.057,-3.8,-0.6
30,30,MIN,Howard Eisley,Boston College,12,786,16013,5116,1324,2748,0.407,0.35,0.827,20.4,6.5,1.7,3.5,19.5,0.058,-1.7,1.3
31,31,ORL,Rodney Dent,Kentucky,,,,,,,,,,,,,,,,,
32,32,WSB,Jim McIlvaine,Marquette,7,401,5927,1072,1243,105,0.446,0.1,0.551,14.8,2.7,3.1,0.3,9.4,0.076,-2.2,-0.3
33,33,PHI,Derrick Alston,Duquesne,3,139,2657,751,525,94,0.489,0.143,0.487,19.1,5.4,3.8,0.7,2.6,0.047,-2.8,-0.5
34,34,ATL,Gaylon Nickerson,Northwestern Oklahoma State University,1,4,42,15,5,1,0.333,0,1,10.5,3.8,1.3,0.3,0.1,0.076,-1.2,0
35,35,SAC,Michael Smith,Providence,7,449,10552,2527,3193,661,0.538,0.143,0.529,23.5,5.6,7.1,1.5,23.4,0.107,-0.1,5.1
36,36,BOS,Andrei Fetisov,,,,,,,,,,,,,,,,,,
37,37,SEA,Dontonio Wingfield,Cincinnati,4,114,1146,423,275,76,0.389,0.309,0.721,10.1,3.7,2.4,0.7,1.8,0.074,-2.6,-0.2
38,38,CHH,Darrin Hancock,Kansas,3,133,1395,467,169,89,0.53,0.333,0.579,10.5,3.5,1.3,0.7,1.1,0.038,-3.3,-0.5
39,39,GSW,Anthony Miller,Michigan State,8,181,1637,510,488,66,0.51,0.25,0.576,9,2.8,2.7,0.4,3.8,0.11,-2.6,-0.2
40,40,MIA,Jeff Webster,Oklahoma,1,11,58,18,7,3,0.348,0.333,,5.3,1.6,0.6,0.3,0,-0.03,-4.9,0
41,41,IND,William Njoku,,,,,,,,,,,,,,,,,,
42,42,CLE,Gary Collier,Tulsa,,,,,,,,,,,,,,,,,
43,43,POR,Shawnelle Scott,St. John's,4,105,634,189,228,20,0.464,,0.465,6,1.8,2.2,0.2,1.3,0.101,-3.8,-0.3
44,44,IND,Damon Bailey,Indiana,,,,,,,,,,,,,,,,,
45,45,GSW,Dwayne Morton,Louisville,1,41,395,167,58,18,0.388,0.36,0.682,9.6,4.1,1.4,0.4,0.2,0.025,-3.5,-0.1
46,46,MIL,Voshon Lenard,Minnesota,11,565,15349,6745,1609,1180,0.415,0.384,0.787,27.2,11.9,2.8,2.1,29.6,0.093,0,7.9
47,47,UTA,Jamie Watson,South Carolina,4,102,1248,323,149,117,0.468,0.316,0.694,12.2,3.2,1.5,1.1,1.2,0.045,-1.5,0.2
48,48,DET,Jevon Crudup,Missouri,,,,,,,,,,,,,,,,,
49,49,CHI,Kris Bruton,Benedict College,,,,,,,,,,,,,,,,,
50,50,PHO,Charles Claxton,Georgia,1,3,7,2,2,0,0.5,,0,2.3,0.7,0.7,0,0,-0.179,-18.9,0
51,51,SAC,Lawrence Funderburke,Ohio State,7,318,4726,2031,1142,183,0.506,0.118,0.675,14.9,6.4,3.6,0.6,12.9,0.131,-0.5,1.8
52,52,PHO,Anthony Goldwire,Houston,8,266,4951,1667,359,737,0.407,0.386,0.792,18.6,6.3,1.3,2.8,6.4,0.062,-1.8,0.3
53,53,HOU,Albert Burditt,Texas,,,,,,,,,,,,,,,,,
54,54,SEA,Željko Rebrača,,5,215,3280,1276,688,88,0.527,,0.792,15.3,5.9,3.2,0.4,8.3,0.121,-2.2,-0.2
