year,player_exp
2001,70
2002,68
2003,73
2004,78
2005,86
2006,102
2007,108
2008,126
2009,113
2010,119
2011,138
2012,115
2013,132
2014,112
2015,135
2016,142
2017,119
2018,99
2019,117
2020,72
2021,160
2022,213
