year,attendance
2006,2.96
2007,2.68
2008,2.50
2009,2.28
2010,2.19
2011,2
2012,1.97
2013,1.77
2014,1.65
2015,1.76
2016,1.75
2017,1.63
2018,1.61
2019,1.63
2021,1.60
2022,1.98
