year,oper_inc
2002,1.20
2003,12.80
2004,8.10
2005,21.70
2006,19.50
2007,30.60
2008,13.80
2009,26.40
2010,27.60
2011,10.70
2012,22.90
2013,-2.70
2014,31.90
2015,20.20
2016,41.90
2017,30
2018,76
2019,66
2020,-40
2021,-9.50
2022,-53
