year,revenue
2001,101
2002,106
2003,124
2004,131
2005,157
2006,173
2007,193
2008,196
2009,194
2010,210
2011,214
2012,216
2013,210
2014,227
2015,240
2016,269
2017,266
2018,272
2019,285
2020,124
2021,258
2022,276
