year,tick_price
2006,26.19
2007,28.78
2008,30.28
2009,32.28
2010,38.65
2011,40.67
2012,29
2013,26.05
2014,26.05
2015,26.05
2016,29.55
2018,26.73
2019,28.38
2020,28.08
2021,31.39
2022,34.43
