year,player_exp
2001,85
2002,85
2003,96
2004,102
2005,101
2006,103
2007,109
2008,120
2009,111
2010,110
2011,123
2012,134
2013,133
2014,133
2015,145
2016,173
2017,165
2018,176
2019,182
2020,88
2021,191
2022,174
