year,tick_price
2006,29.78
2007,28.43
2008,29.32
2009,29.43
2010,30.14
2011,31.17
2012,31.57
2013,33.11
2014,33.84
2015,34.20
2016,35.24
2018,35.54
2019,35.54
2020,35.67
2021,36.40
2022,36.40
