year,oper_inc
2002,-2
2003,-11.10
2004,-3.90
2005,7.90
2006,14
2007,21.50
2008,6.60
2009,12.80
2010,19.80
2011,25
2012,19.90
2013,65.20
2014,73.60
2015,59.80
2016,40.50
2017,40
2018,65
2019,72
2020,-79
2021,-34
2022,43
