year,attendance
2006,3.45
2007,3.55
2008,3.43
2009,3.34
2010,3.30
2011,3.09
2012,3.26
2013,3.37
2014,3.54
2015,3.52
2016,3.44
2017,3.45
2018,3.40
2019,3.48
2021,2.10
2022,3.32
