year,revenue
2001,123
2002,128
2003,131
2004,151
2005,165
2006,184
2007,194
2008,195
2009,195
2010,207
2011,233
2012,239
2013,283
2014,294
2015,300
2016,310
2017,319
2018,356
2019,383
2020,109
2021,287
2022,358
