year,player_exp
2001,46
2002,53
2003,66
2004,58
2005,91
2006,31
2007,44
2008,45
2009,48
2010,58
2011,72
2012,108
2013,65
2014,72
2015,81
2016,100
2017,143
2018,121
2019,98
2020,49
2021,82
2022,104
