year,revenue
2001,81
2002,76
2003,101
2004,103
2005,119
2006,122
2007,128
2008,139
2009,144
2010,143
2011,148
2012,195
2013,159
2014,188
2015,199
2016,206
2017,219
2018,224
2019,222
2020,96
2021,240
2022,238
