year,oper_inc
2002,-14
2003,-11.60
2004,3
2005,-11.90
2006,43.30
2007,35.60
2008,43.70
2009,46.10
2010,20.20
2011,8.90
2012,-7.10
2013,-8
2014,15.40
2015,15.80
2016,-2.20
2017,-53
2018,-22
2019,-5.90
2020,-55
2021,25
2022,-0.50
