year,attendance
2006,1.17
2007,1.37
2008,1.35
2009,1.52
2010,1.52
2011,1.52
2012,2.22
2013,1.59
2014,1.73
2015,1.75
2016,1.71
2017,1.65
2018,0.81
2019,0.81
2021,0.64
2022,0.91
