year,tick_price
2006,24.01
2007,24.01
2008,25.29
2009,25.53
2010,25.53
2011,26.40
2012,26.40
2013,28.45
2014,28.45
2015,31
2016,28.75
2018,37.33
2019,37.77
2020,36.67
2021,35.22
2022,35.22
