year,oper_inc
2002,23.30
2003,17
2004,10.80
2005,7.30
2006,21.50
2007,10.10
2008,3.80
2009,10.50
2010,9.90
2011,2.20
2012,12.90
2013,5.30
2014,26.40
2015,16.80
2016,11.60
2017,-2.40
2018,31
2019,31
2020,-35
2021,71
2022,86
