year,player_exp
2001,99
2002,94
2003,99
2004,92
2005,109
2006,101
2007,120
2008,127
2009,119
2010,111
2011,120
2012,103
2013,104
2014,121
2015,139
2016,161
2017,174
2018,174
2019,163
2020,67
2021,104
2022,135
