year,attendance
2006,2.48
2007,2.67
2008,2.33
2009,2.20
2010,2.09
2011,1.90
2012,1.72
2013,1.76
2014,2.06
2015,2.19
2016,2.27
2017,2.14
2018,2.30
2019,1.79
2021,1.22
2022,2.29
