year,revenue
2001,166
2002,167
2003,169
2004,173
2005,179
2006,182
2007,194
2008,189
2009,191
2010,204
2011,210
2012,215
2013,210
2014,250
2015,271
2016,289
2017,288
2018,320
2019,315
2020,129
2021,313
2022,363
