year,revenue
2001,133
2002,129
2003,129
2004,148
2005,156
2006,158
2007,166
2008,174
2009,171
2010,175
2011,179
2012,206
2013,198
2014,245
2015,239
2016,253
2017,252
2018,251
2019,256
2020,115
2021,251
2022,264
