year,tick_price
2006,22.53
2007,22.45
2008,23.85
2009,23.42
2010,23.42
2011,23.90
2012,23.89
2013,23.89
2014,24.97
2015,24.97
2016,29.96
2018,29.95
2019,29.95
2020,30
2021,29.52
2022,30.10
