year,attendance
2006,2.15
2007,2.19
2008,2.03
2009,1.91
2010,1.75
2011,1.76
2012,2.10
2013,2.36
2014,2.46
2015,2.32
2016,2.17
2017,2.03
2018,1.56
2019,1.31
2021,0.79
2022,1.37
