year,oper_inc
2002,12.40
2003,9.10
2004,34
2005,21
2006,17.10
2007,7.70
2008,27.20
2009,19.40
2010,25.50
2011,12.90
2012,30.10
2013,1.60
2014,31.40
2015,8.80
2016,-2.10
2017,-26
2018,-6.50
2019,57
2020,-23
2021,83
2022,67
