year,player_exp
2001,90
2002,76
2003,74
2004,63
2005,83
2006,86
2007,103
2008,91
2009,94
2010,90
2011,104
2012,102
2013,112
2014,122
2015,137
2016,162
2017,183
2018,161
2019,103
2020,43
2021,66
2022,83
