year,oper_inc
2002,7.10
2003,-6.30
2004,-7.80
2005,16.30
2006,23.90
2007,26.20
2008,24.50
2009,20.10
2010,16.30
2011,14.40
2012,18.70
2013,13.70
2014,12.60
2015,5.50
2016,26.60
2017,15
2018,23
2019,29
2020,-65
2021,14
2022,-9.10
