year,tick_price
2006,14.72
2007,16.50
2008,19.50
2009,19.50
2010,19.50
2011,19.50
2012,20.55
2013,23.65
2014,23.65
2015,23.65
2016,23.99
2018,26.02
2019,27.29
2020,27.17
2021,25.58
2022,25.51
