year,revenue
2001,129
2002,121
2003,124
2004,132
2005,145
2006,151
2007,169
2008,178
2009,183
2010,188
2011,193
2012,199
2013,197
2014,214
2015,227
2016,248
2017,266
2018,291
2019,305
2020,109
2021,270
2022,286
