year,attendance
2006,2.11
2007,2.35
2008,2.68
2009,2.67
2010,2.91
2011,2.91
2012,2.63
2013,2.79
2014,2.68
2015,2.51
2016,2.60
2017,2.95
2018,3.02
2019,2.99
2021,1.94
2022,2.60
