year,player_exp
2001,74
2002,64
2003,80
2004,80
2005,69
2006,63
2007,74
2008,86
2009,95
2010,97
2011,102
2012,96
2013,96
2014,114
2015,129
2016,127
2017,148
2018,155
2019,163
2020,84
2021,136
2022,168
