year,oper_inc
2002,0.40
2003,-7.10
2004,-0.50
2005,6.90
2006,14.80
2007,23.80
2008,26.80
2009,25
2010,26.50
2011,16.60
2012,10.80
2013,30.20
2014,21.30
2015,18.50
2016,29.90
2017,23
2018,14
2019,43
2020,-49
2021,10
2022,-27
