year,player_exp
2001,42
2002,53
2003,70
2004,69
2005,73
2006,76
2007,81
2008,80
2009,83
2010,112
2011,121
2012,122
2013,97
2014,106
2015,125
2016,123
2017,133
2018,151
2019,144
2020,66
2021,141
2022,172
