year,attendance
2006,2.29
2007,2.30
2008,2.30
2009,2.39
2010,3.22
2011,3.17
2012,2.78
2013,2.48
2014,2.25
2015,2.22
2016,1.96
2017,2.05
2018,1.96
2019,2.29
2021,1.31
2022,1.80
