year,player_exp
2001,59
2002,67
2003,70
2004,69
2005,91
2006,98
2007,107
2008,148
2009,151
2010,150
2011,122
2012,143
2013,163
2014,184
2015,169
2016,210
2017,216
2018,148
2019,136
2020,63
2021,115
2022,158
