year,tick_price
2006,18.48
2007,19.45
2008,25.28
2009,27.38
2010,23.48
2011,29.32
2012,31
2013,26.36
2014,28.22
2015,29.01
2016,28.88
2018,28.15
2019,28.31
2020,28.31
2021,28.26
2022,26.84
