year,oper_inc
2002,-5.30
2003,0.30
2004,7.90
2005,3.50
2006,8.70
2007,4.60
2008,-26.30
2009,-29.50
2010,-29.10
2011,8.20
2012,-0.40
2013,7.50
2014,-20.70
2015,11
2016,-36.40
2017,-46
2018,19
2019,30
2020,-42
2021,31
2022,-26
