year,attendance
2006,2.60
2007,3.05
2008,3.20
2009,2.57
2010,2.46
2011,2.64
2012,3.03
2013,3.08
2014,2.92
2015,2.73
2016,2.49
2017,2.32
2018,1.86
2019,1.50
2021,1.10
2022,1.55
