year,revenue
2001,114
2002,108
2003,117
2004,126
2005,146
2006,170
2007,173
2008,186
2009,188
2010,192
2011,217
2012,238
2013,262
2014,254
2015,268
2016,275
2017,277
2018,276
2019,276
2020,111
2021,268
2022,260
