year,attendance
2006,1.88
2007,1.79
2008,1.63
2009,1.58
2010,1.61
2011,1.94
2012,2.09
2013,2.26
2014,2.44
2015,2.50
2016,2.25
2017,1.92
2018,1.47
2019,1.49
2021,0.86
2022,1.26
