year,oper_inc
2002,-1.60
2003,-0.30
2004,12.20
2005,21.90
2006,25.30
2007,17.60
2008,15.90
2009,15.60
2010,24.60
2011,15.90
2012,26.80
2013,21.80
2014,43.60
2015,35.30
2016,51
2017,35
2018,39
2019,66
2020,-21
2021,64
2022,55
