year,revenue
2001,108
2002,101
2003,109
2004,109
2005,125
2006,137
2007,139
2008,144
2009,145
2010,160
2011,168
2012,178
2013,204
2014,229
2015,244
2016,265
2017,258
2018,254
2019,273
2020,116
2021,258
2022,262
