year,player_exp
2001,59
2002,60
2003,65
2004,44
2005,49
2006,53
2007,60
2008,65
2009,67
2010,61
2011,75
2012,69
2013,88
2014,92
2015,111
2016,115
2017,118
2018,109
2019,95
2020,44
2021,74
2022,81
