year,tick_price
2006,17.08
2007,17.07
2008,17.07
2009,15.39
2010,15.39
2011,15.30
2012,16.11
2013,17.21
2014,18.32
2015,19.99
2016,29.96
2018,23.43
2019,22.81
2020,20.75
2021,23.37
2022,25.46
