year,tick_price
2006,25.28
2007,28.26
2008,34.05
2009,36.99
2010,32.22
2011,31.81
2012,27.24
2013,25.30
2014,25.30
2015,25.30
2016,26.02
2018,27.60
2019,27.60
2020,27.60
2021,27.60
2022,28.73
