year,attendance
2006,3.51
2007,3.85
2008,4.14
2009,3.15
2010,2.62
2011,2.38
2012,2.24
2013,2.14
2014,2.15
2015,2.57
2016,2.79
2017,2.46
2018,2.22
2019,2.44
2021,1.48
2022,2.56
