year,fran_val
2002,482
2003,498
2004,442
2005,505
2006,604
2007,736
2008,824
2009,912
2010,858
2011,747
2012,719
2013,811
2014,800
2015,"1,350"
2016,"1,650"
2017,"2,000"
2018,"2,100"
2019,"2,300"
2020,"2,400"
2021,"2,450"
2022,"2,650"
2023,"2,900"
