year,player_exp
2001,104
2002,112
2003,124
2004,112
2005,131
2006,125
2007,130
2008,157
2009,152
2010,139
2011,159
2012,115
2013,111
2014,105
2015,119
2016,156
2017,171
2018,159
2019,171
2020,96
2021,215
2022,288
