year,oper_inc
2002,11.60
2003,-19.30
2004,-11.20
2005,-16.20
2006,24.40
2007,32.90
2008,23.50
2009,26.20
2010,-6.20
2011,-40.80
2012,-2.40
2013,1.60
2014,25
2015,46.80
2016,31.70
2017,17
2018,30
2019,7
2020,-125
2021,-96
2022,-138
